error_category,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),gpt-realtime-2025-08 (control),gpt-realtime-2025-08 (control_accents),gpt-realtime-2025-08 (control_audio),gpt-realtime-2025-08 (control_behavior),gpt-realtime-2025-08 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),TOTAL
Error: User IVAN_ROSSI_8555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User IOAM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IA_LI_3668 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IA_ILBA_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IANAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IAMKM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IAM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User HAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User AAR_AHMED_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User AARAV_ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Unknown ID format or type: customer_id,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: RetailTools.get_item_details() got an unexpected keyw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation ZFA04Y not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation ZA5SGQ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation YFOYYZ not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation YAX4CR not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation XU-RD9 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation XEWURD9 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation XEQRD9 not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555-123-0022 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation XEH4NB not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Reservation XCHM4B not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation X-E-W-R-D-9 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation X E W R D 9 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation WHGLP3 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation W R D 9 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation VE5SQ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation VA5SQ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation VA5GQ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation x c u b d not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: RetailTools.get_order_details() got an unexpected key,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 512-555-123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: RetailTools.get_product_details() got an unexpected k,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 51232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5235232023 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: 5753502325 not found,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: 8733974883 not found,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 55-123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 550051232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5512123002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Tool 'check_wifi_status' not found.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 55123002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 551234002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5523523 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with ID 123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-005-5532003 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-1200 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555-122-2002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Customer with phone number 555-123-0 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 555-123-0010 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number +1555123002 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
